,cur,est,actual,,,,,
2016-10-11,36400,35908.773,36700,791.2265625,491.227,-300,0,1
2016-10-12,36700,36364.746,35900,464.7460938,335.254,800,0,0
2016-10-13,35900,35711.38,36650,938.6210938,188.62,-750,0,1
2016-10-14,36650,36185.305,36950,764.6953125,464.695,-300,0,1
2016-10-17,36950,36710.727,37000,289.2734375,239.273,-50,0,1
2016-10-18,37000,36559.324,38850,2290.675781,440.676,-1850,0,1
2016-10-19,38850,38341.86,38700,358.140625,508.14,150,0,0
2016-10-20,38700,38691.44,39400,708.5585938,8.56,-700,0,1
2016-10-21,39400,38766.797,39500,733.203125,633.203,-100,0,1
2016-10-24,39500,38960.867,39050,89.1328125,539.133,450,0,0
2016-10-25,39050,38813.36,38000,813.359375,236.64,1050,0,0
2016-10-26,38000,37919.95,38550,630.0507813,80.05,-550,0,1
2016-10-27,38550,38140.547,37450,690.546875,409.453,1100,0,0
2016-10-28,37450,37320.84,37350,29.16015625,129.16,100,0,0
2016-10-31,37350,36966.78,35650,1316.78125,383.22,1700,0,0
2016-11-01,35650,35694.58,34650,1044.578125,-44.58,1000,1,0
2016-11-02,34650,34374.832,35250,875.1679688,275.168,-600,0,1
2016-11-03,35250,34870.66,34700,170.6601563,379.34,550,0,0
2016-11-04,34700,34608.2,35150,541.8007813,91.8,-450,0,1
2016-11-07,35150,34786.223,35250,463.7773438,363.777,-100,0,1
2016-11-08,35250,34741.55,33950,791.5507813,508.45,1300,0,0
2016-11-09,33950,33643.246,34850,1206.753906,306.754,-900,0,1
2016-11-10,34850,34319.008,35400,1080.992188,530.992,-550,0,1
2016-11-11,35400,34975.574,36450,1474.425781,424.426,-1050,0,1
2016-11-14,36450,36108.703,36400,291.296875,341.297,50,0,0
2016-11-15,36400,36086.863,36800,713.1367188,313.137,-400,0,1
2016-11-16,36800,36539.766,37400,860.234375,260.234,-600,0,1
2016-11-17,37400,37166.305,35900,1266.304688,233.695,1500,0,0
2016-11-18,35900,36051.293,35600,451.2929688,-151.293,300,1,0
2016-11-21,35600,35506.73,35750,243.2695313,93.27,-150,0,1
2016-11-22,35750,35516.816,36150,633.1835938,233.184,-400,0,1
2016-11-23,36150,35961.254,35600,361.2539063,188.746,550,0,0
2016-11-24,35600,35748.855,35100,648.8554688,-148.855,500,1,0
2016-11-25,35100,34857.914,35100,242.0859375,242.086,0,0,0
2016-11-28,35100,34710.605,35350,639.3945313,389.395,-250,0,1
2016-11-29,35350,35086.117,35300,213.8828125,263.883,50,0,0
2016-11-30,35300,34883.797,35150,266.203125,416.203,150,0,0
2016-12-01,35150,35018.934,35250,231.0664063,131.066,-100,0,1
2016-12-02,35250,34641.184,35050,408.8164063,608.816,200,0,0
2016-12-05,35050,34616.47,35550,933.53125,433.53,-500,0,1
2016-12-06,35550,35044.32,35400,355.6796875,505.68,150,0,0
2016-12-07,35400,35017.336,36250,1232.664063,382.664,-850,0,1
2016-12-08,36250,35757.637,35400,357.6367188,492.363,850,0,0
2016-12-09,35400,35183.605,35950,766.3945313,216.395,-550,0,1
2016-12-12,35950,35632.973,36650,1017.027344,317.027,-700,0,1
2016-12-13,36650,36215.582,36300,84.41796875,434.418,350,0,0
2016-12-14,36300,36055.184,36600,544.8164063,244.816,-300,0,1
2016-12-15,36600,36142.637,36050,92.63671875,457.363,550,0,0
2016-12-16,36050,35893.594,35400,493.59375,156.406,650,0,0
2016-12-19,35400,35256.297,35350,93.703125,143.703,50,0,0
2016-12-20,35350,35039.883,35550,510.1171875,310.117,-200,0,1
2016-12-21,35550,35250.824,35300,49.17578125,299.176,250,0,0
2016-12-22,35300,34982.637,35100,117.3632813,317.363,200,0,0
2016-12-23,35100,34826.57,35350,523.4296875,273.43,-250,0,1
2016-12-26,35350,35119.184,35150,30.81640625,230.816,200,0,0
2016-12-27,35150,34814.875,35050,235.125,335.125,100,0,0
2016-12-28,35050,34584.094,35050,465.90625,465.906,0,0,0
2016-12-29,35050,34695.477,35450,754.5234375,354.523,-400,0,1
2017-01-02,35450,35054.02,36600,1545.980469,395.98,-1150,0,1
2017-01-03,36600,36210.637,37150,939.3632813,389.363,-550,0,1
2017-01-04,37150,36705.56,36750,44.44140625,444.44,400,0,0
2017-01-05,36750,36373.062,36700,326.9375,376.938,50,0,0
2017-01-06,36700,36291.027,36700,408.9726563,408.973,0,0,0
2017-01-09,36700,36371.312,37600,1228.6875,328.688,-900,0,1
2017-01-10,37600,37066.645,37400,333.3554688,533.355,200,0,0
2017-01-11,37400,37385.684,37950,564.3164063,14.316,-550,0,1
2017-01-12,37950,37501.63,37250,251.6289063,448.37,700,0,0
2017-01-13,37250,36998.047,36800,198.046875,251.953,450,0,0
2017-01-16,36800,36448.008,37200,751.9921875,351.992,-400,0,1
2017-01-17,37200,36893.426,36900,6.57421875,306.574,300,0,0
2017-01-18,36900,36643.926,36650,6.07421875,256.074,250,0,0
2017-01-19,36650,36385,36750,365,265,-100,0,1
2017-01-20,36750,36404.152,36700,295.8476563,345.848,50,0,0
2017-01-23,36700,36428.59,35550,878.5898438,271.41,1150,0,0
2017-01-24,35550,35296.01,35200,96.01171875,253.99,350,0,0
2017-01-25,35200,34960.41,35500,539.5898438,239.59,-300,0,1
2017-01-26,35500,35146.395,35200,53.60546875,353.605,300,0,0
2017-01-31,35200,34986.066,35750,763.9335938,213.934,-550,0,1
2017-02-01,35750,35292.004,35100,192.0039063,457.996,650,0,0
2017-02-02,35100,34921.46,35300,378.5390625,178.54,-200,0,1
2017-02-03,35300,35052.785,35050,2.78515625,247.215,250,0,0
2017-02-06,35050,34848.67,35600,751.328125,201.33,-550,0,1
2017-02-07,35600,35043.58,35250,206.421875,556.42,350,0,0
2017-02-08,35250,34884.04,35250,365.9609375,365.96,0,0,0
2017-02-09,35250,34851.78,35900,1048.21875,398.22,-650,0,1
2017-02-10,35900,35506.816,36100,593.1835938,393.184,-200,0,1
2017-02-13,36100,35753.465,35950,196.5351563,346.535,150,0,0
2017-02-14,35950,35653.05,36350,696.9492188,296.95,-400,0,1
2017-02-15,36350,35940,35650,290,410,700,0,0
2017-02-16,35650,35454.63,35500,45.37109375,195.37,150,0,0
2017-02-17,35500,35126.51,35500,373.4882813,373.49,0,0,0
2017-02-20,35500,35238.395,35800,561.6054688,261.605,-300,0,1
2017-02-21,35800,35355.55,35900,544.4492188,444.45,-100,0,1
2017-02-22,35900,35541.36,35450,91.359375,358.64,450,0,0
2017-02-23,35450,35204.99,36900,1695.011719,245.01,-1450,0,1
2017-02-24,36900,36565.41,36500,65.41015625,334.59,400,0,0
2017-02-27,36500,36310.22,36400,89.78125,189.78,100,0,0
2017-02-28,36400,35933.96,35800,133.9609375,466.04,600,0,0
2017-03-02,35800,35593.832,35950,356.1679688,206.168,-150,0,1
2017-03-03,35950,35752.59,35550,202.5898438,197.41,400,0,0
2017-03-06,35550,35191.516,36050,858.484375,358.484,-500,0,1
2017-03-07,36050,35684.176,35700,15.82421875,365.824,350,0,0
2017-03-08,35700,35447.207,35200,247.2070313,252.793,500,0,0
2017-03-09,35200,34970.61,35200,229.390625,229.39,0,0,0
2017-03-10,35200,34767.324,35350,582.6757813,432.676,-150,0,1
2017-03-13,35350,34986.94,35050,63.05859375,363.06,300,0,0
2017-03-14,35050,34888.59,34650,238.5898438,161.41,400,0,0
2017-03-15,34650,34436.734,34600,163.265625,213.266,50,0,0
2017-03-16,34600,34207.69,35400,1192.308594,392.31,-800,0,1
2017-03-17,35400,34894.723,35150,255.2773438,505.277,250,0,0
2017-03-20,35150,34862.242,35100,237.7578125,287.758,50,0,0
2017-03-21,35100,34750.527,35100,349.4726563,349.473,0,0,0
2017-03-22,35100,34715.38,35550,834.6210938,384.62,-450,0,1
2017-03-23,35550,35022.336,35650,627.6640625,527.664,-100,0,1
2017-03-24,35650,35273.402,35600,326.5976563,376.598,50,0,0
2017-03-27,35600,35263.06,36000,736.9414063,336.94,-400,0,1
2017-03-28,36000,35681.55,36150,468.4492188,318.45,-150,0,1
2017-03-29,36150,35835.33,35750,85.328125,314.67,400,0,0
2017-03-30,35750,35494.785,35900,405.2148438,255.215,-150,0,1
2017-03-31,35900,35639.06,35750,110.9414063,260.94,150,0,0
2017-04-03,35750,35453.434,35700,246.5664063,296.566,50,0,0
2017-04-04,35700,35374.703,35900,525.296875,325.297,-200,0,1
2017-04-05,35900,35576.055,35900,323.9453125,323.945,0,0,0
2017-04-06,35900,35581.87,35800,218.1289063,318.13,100,0,0
2017-04-07,35800,35511.55,35150,361.5507813,288.45,650,0,0
2017-04-10,35150,34837.906,35200,362.09375,312.094,-50,0,1
2017-04-11,35200,34793.727,35050,256.2734375,406.273,150,0,0
2017-04-12,35050,34838.094,35100,261.90625,211.906,-50,0,1
2017-04-13,35100,34781.457,35350,568.5429688,318.543,-250,0,1
2017-04-14,35350,34939.76,35450,510.2382813,410.24,-100,0,1
2017-04-17,35450,35022.164,36500,1477.835938,427.836,-1050,0,1
2017-04-18,36500,35977.32,36450,472.6796875,522.68,50,0,0
2017-04-19,36450,36154.062,37350,1195.9375,295.938,-900,0,1
2017-04-20,37350,36780.543,38050,1269.457031,569.457,-700,0,1
2017-04-21,38050,37521.754,39200,1678.246094,528.246,-1150,0,1
2017-04-24,39200,38640.58,39250,609.421875,559.42,-50,0,1
2017-04-25,39250,38814.56,39700,885.4414063,435.44,-450,0,1
2017-04-26,39700,39562.652,40150,587.3476563,137.348,-450,0,1
2017-04-27,40150,39812.867,39950,137.1328125,337.133,200,0,0
2017-04-28,39950,39701.867,40050,348.1328125,248.133,-100,0,1
2017-05-02,40050,39871.613,40050,178.3867188,178.387,0,0,0
2017-05-04,40050,39917.38,41050,1132.621094,132.62,-1000,0,1
2017-05-08,41050,40705.156,41150,444.84375,344.844,-100,0,1
2017-05-10,41150,41197.875,42350,1152.125,-47.875,-1200,0,0
2017-05-11,42350,41846.67,42550,703.328125,503.33,-200,0,1
2017-05-12,42550,41970.703,42650,679.296875,579.297,-100,0,1
2017-05-15,42650,42129.383,43950,1820.617188,520.617,-1300,0,1
2017-05-16,43950,43251.34,44350,1098.660156,698.66,-400,0,1
2017-05-17,44350,43996.406,44150,153.59375,353.594,200,0,0
2017-05-18,44150,43700.32,45450,1749.679688,449.68,-1300,0,1
2017-05-19,45450,44857.11,45800,942.890625,592.89,-350,0,1
2017-05-22,45800,45727.473,46400,672.5273438,72.527,-600,0,1
2017-05-23,46400,46064.555,46400,335.4453125,335.445,0,0,0
2017-05-24,46400,46275.094,47450,1174.90625,124.906,-1050,0,1
2017-05-25,47450,47088.145,46200,888.1445312,361.855,1250,0,0
2017-05-26,46200,46384.89,48000,1615.109375,-184.89,-1800,0,0
2017-05-29,48000,47847.12,47850,2.87890625,152.88,150,0,0
2017-05-30,47850,47815.992,47850,34.0078125,34.008,0,0,0
2017-05-31,47850,47736.2,48750,1013.800781,113.8,-900,0,1
2017-06-01,48750,48072.26,49000,927.7382813,677.74,-250,0,1
2017-06-02,49000,48700.32,47500,1200.320313,299.68,1500,0,0
2017-06-05,47500,47674.4,48100,425.6015625,-174.4,-600,0,0
2017-06-07,48100,47862.258,47850,12.2578125,237.742,250,0,0
2017-06-08,47850,47635.29,48300,664.7109375,214.71,-450,0,1
2017-06-09,48300,48082.387,47150,932.3867188,217.613,1150,0,0
2017-06-12,47150,47144.94,48000,855.0585938,5.06,-850,0,1
2017-06-13,48000,47353.848,47600,246.1523438,646.152,400,0,0
2017-06-14,47600,47459.535,46350,1109.535156,140.465,1250,0,0
2017-06-15,46350,46164.223,46550,385.7773438,185.777,-200,0,1
2017-06-16,46550,46220.656,45150,1070.65625,329.344,1400,0,0
2017-06-19,45150,44968.137,45750,781.8632812,181.863,-600,0,1
2017-06-20,45750,45667.918,45700,32.08203125,82.082,50,0,0
2017-06-21,45700,45169.867,46250,1080.132813,530.133,-550,0,1
2017-06-22,46250,45702.62,46400,697.3789063,547.38,-150,0,1
2017-06-23,46400,46115.387,45300,815.3867188,284.613,1100,0,0
2017-06-26,45300,45057.816,47000,1942.183594,242.184,-1700,0,1
2017-06-27,47000,46240.5,47300,1059.5,759.5,-300,0,1
2017-06-28,47300,47256.99,47050,206.9882813,43.01,250,0,0
2017-06-29,47050,46738.023,47400,661.9765625,311.977,-350,0,1
2017-06-30,47400,46855.35,47650,794.6484375,544.65,-250,0,1
2017-07-03,47650,47356.062,46050,1306.0625,293.938,1600,0,0
2017-07-04,46050,46097.773,46100,2.2265625,-47.773,-50,0,0
2017-07-05,46100,45752.168,46450,697.8320313,347.832,-350,0,1
2017-07-06,46450,46183.895,46550,366.1054688,266.105,-100,0,1
2017-07-07,46550,46361.938,48500,2138.0625,188.062,-1950,0,1
2017-07-10,48500,47790.41,48300,509.5898438,709.59,200,0,0
2017-07-11,48300,47761.39,46700,1061.390625,538.61,1600,0,0
2017-07-12,46700,46399.91,47000,600.0898437,300.09,-300,0,1
2017-07-13,47000,46779.676,48800,2020.324219,220.324,-1800,0,1
2017-07-14,48800,48299.047,48650,350.953125,500.953,150,0,0
2017-07-17,48650,48649.496,47650,999.4960938,0.504,1000,0,0
2017-07-18,47650,47593.92,48100,506.078125,56.08,-450,0,1
2017-07-19,48100,47474.57,48600,1125.429688,625.43,-500,0,1
2017-07-20,48600,48039.2,48800,760.8007813,560.8,-200,0,1
2017-07-21,48800,48570,48400,170,230,400,0,0
2017-07-24,48400,48208.465,48750,541.5351563,191.535,-350,0,1
2017-07-25,48750,48405.312,47850,555.3125,344.688,900,0,0
2017-07-26,47850,47782.625,48750,967.375,67.375,-900,0,1
2017-07-27,48750,48281.668,47850,431.6679688,468.332,900,0,0
2017-07-28,47850,47606.25,48950,1343.75,243.75,-1100,0,1
2017-07-31,48950,48571.11,49600,1028.890625,378.89,-650,0,1
2017-08-01,49600,48993.824,49600,606.1757813,606.176,0,0,0
2017-08-02,49600,49409.633,48800,609.6328125,190.367,800,0,0
2017-08-03,48800,48229.777,48850,620.2226563,570.223,-50,0,1
2017-08-04,48850,48158.082,50000,1841.917969,691.918,-1150,0,1
2017-08-07,50000,49518.617,50600,1081.382812,481.383,-600,0,1
2017-08-08,50600,50461.438,50700,238.5625,138.562,-100,0,1
2017-08-09,50700,50404.203,50800,395.796875,295.797,-100,0,1
2017-08-10,50800,49957.43,51200,1242.570313,842.57,-400,0,1
2017-08-11,51200,50471.07,50700,228.9296875,728.93,500,0,0
2017-08-14,50700,50703.293,51600,896.7070313,-3.293,-900,0,0
2017-08-16,51600,51102.91,51400,297.0898438,497.09,200,0,0
2017-08-17,51400,51065.715,51700,634.2851562,334.285,-300,0,1
2017-08-18,51700,51165.703,50600,565.703125,534.297,1100,0,0
2017-08-21,50600,50520.508,51800,1279.492188,79.492,-1200,0,1
2017-08-22,51800,51750.285,52000,249.7148437,49.715,-200,0,1
2017-08-23,52000,51565.37,51400,165.3710938,434.63,600,0,0
2017-08-24,51400,51118.13,49200,1918.128906,281.87,2200,0,0
2017-08-25,49200,48890.117,49300,409.8828125,309.883,-100,0,1
2017-08-28,49300,49108.99,49350,241.0117187,191.01,-50,0,1
2017-08-29,49350,48896.797,49200,303.203125,453.203,150,0,0
2017-08-30,49200,48804.555,49150,345.4453125,395.445,50,0,0
2017-08-31,49150,49000.89,48650,350.890625,149.11,500,0,0
2017-09-01,48650,48284.44,47500,784.4414063,365.56,1150,0,0
2017-09-04,47500,47148.133,46450,698.1328125,351.867,1050,0,0
2017-09-05,46450,46285.21,47250,964.7890625,164.79,-800,0,1
2017-09-06,47250,46882.957,47300,417.0429688,367.043,-50,0,1
2017-09-07,47300,46906.445,47300,393.5546875,393.555,0,0,0
2017-09-08,47300,46875.387,47350,474.6132813,424.613,-50,0,1
2017-09-11,47350,46923.195,48200,1276.804688,426.805,-850,0,1
2017-09-12,48200,47599.938,48050,450.0625,600.062,150,0,0
2017-09-13,48050,47627.85,47050,577.8515625,422.15,1000,0,0
2017-09-14,47050,46893.13,47050,156.8710938,156.87,0,0,0
2017-09-15,47050,46550.85,46950,399.1484375,499.15,100,0,0
2017-09-18,46950,46714.17,46300,414.171875,235.83,650,0,0
2017-09-19,46300,46228.863,46900,671.1367188,71.137,-600,0,1
2017-09-20,46900,46679.734,46700,20.265625,220.266,200,0,0
2017-09-21,46700,46493.89,43600,2893.890625,206.11,3100,0,0
2017-09-25,43600,43204.344,43600,395.65625,395.656,0,0,0
