Date,Open,High,Low,Close,Adj Close,Volume
2015-08-17,238000.000000,238000.000000,174000.000000,176500.000000,167867.093750,12693
2015-08-18,181000.000000,185000.000000,158000.000000,167000.000000,158831.750000,16217
2015-08-19,166500.000000,172000.000000,160000.000000,170000.000000,161685.015625,8617
2015-08-20,170000.000000,174000.000000,162500.000000,169000.000000,160733.921875,4262
2015-08-21,160000.000000,174000.000000,159000.000000,163000.000000,155027.390625,5577
2015-08-24,158500.000000,163000.000000,145000.000000,159500.000000,151698.593750,6794
2015-08-25,155500.000000,169500.000000,155000.000000,163000.000000,155027.390625,1802
2015-08-26,163000.000000,166500.000000,162000.000000,163500.000000,155502.937500,1244
2015-08-27,162500.000000,163500.000000,158500.000000,163000.000000,155027.390625,2329
2015-08-28,164500.000000,168000.000000,160500.000000,164000.000000,155978.500000,6174
2015-08-31,173000.000000,179500.000000,165000.000000,166000.000000,157880.671875,5695
2015-09-01,166000.000000,167000.000000,161000.000000,164000.000000,155978.500000,3428
2015-09-02,160500.000000,165000.000000,159500.000000,162000.000000,154076.312500,2228
2015-09-03,164000.000000,164000.000000,158500.000000,162000.000000,154076.312500,2199
2015-09-04,162000.000000,164000.000000,155000.000000,155000.000000,147418.687500,4269
2015-09-07,155000.000000,156000.000000,151000.000000,155000.000000,147418.687500,1082
2015-09-08,155500.000000,161500.000000,148500.000000,159000.000000,151223.046875,7046
2015-09-09,157500.000000,165500.000000,154500.000000,165500.000000,157405.109375,2174
2015-09-10,161000.000000,165000.000000,161000.000000,163000.000000,155027.390625,997
2015-09-11,159500.000000,164500.000000,158000.000000,164500.000000,156454.031250,1541
2015-09-14,162500.000000,163000.000000,159500.000000,160000.000000,152174.140625,1961
2015-09-15,156500.000000,159000.000000,151000.000000,157500.000000,149796.406250,3513
2015-09-16,156000.000000,158000.000000,154000.000000,158000.000000,150271.968750,2095
2015-09-17,155500.000000,158000.000000,155000.000000,158000.000000,150271.968750,2824
2015-09-18,155500.000000,157000.000000,154000.000000,155500.000000,147894.234375,3104
2015-09-21,155500.000000,155500.000000,151500.000000,155500.000000,147894.234375,997
2015-09-22,152500.000000,155000.000000,150500.000000,154500.000000,146943.156250,2485
2015-09-23,151000.000000,153000.000000,149000.000000,150000.000000,142663.250000,2165
2015-09-24,151500.000000,151500.000000,146000.000000,147000.000000,139809.984375,2704
2015-09-25,145500.000000,150000.000000,145500.000000,150000.000000,142663.250000,835
2015-09-30,145500.000000,152500.000000,145500.000000,150500.000000,143138.796875,2033
2015-10-01,153000.000000,153000.000000,150000.000000,151500.000000,144089.875000,282
2015-10-02,151500.000000,153500.000000,149500.000000,153500.000000,145992.062500,1144
2015-10-05,155000.000000,155000.000000,150000.000000,152000.000000,144565.421875,2025
2015-10-06,154000.000000,154000.000000,149500.000000,151000.000000,143614.343750,1256
2015-10-07,151000.000000,153000.000000,150500.000000,152500.000000,145040.984375,2014
