prediction;test_price
28.53;28.78
28.8;28.81
28.81;28.14
28.9;28.2
28.51;28.74
28.4;29.0
28.56;28.63
28.95;28.29
28.89;28.28
28.6;28.16
28.67;27.78
28.68;27.72
28.28;27.16
28.02;27.18
27.74;26.64
27.67;26.31
26.94;26.76
26.7;26.45
27.03;26.48
26.8;26.04
26.87;26.02
26.66;25.1
26.55;24.87
25.78;24.53
25.33;24.88
25.09;25.5
25.12;25.02
25.38;25.62
25.26;25.12
25.68;25.66
25.42;26.03
25.74;26.75
26.18;26.96
26.58;26.23
26.89;27.48
26.51;27.67
27.11;28.02
27.25;27.85
27.74;27.94
27.81;28.6
27.85;28.19
28.34;28.34
28.24;28.08
28.37;28.42
28.14;28.15
28.41;28.41
28.32;28.69
28.14;28.69
28.47;28.88
28.55;28.39
28.9;28.27
28.59;28.27
28.56;27.8
28.74;27.6
28.36;27.26
28.05;26.83
27.72;26.57
27.46;27.21
26.85;27.4
27.19;27.33
27.58;26.85
27.52;26.57
27.16;27.67
26.82;27.25
27.6;27.83
27.45;27.95
27.79;27.99
27.89;27.71
27.94;27.37
27.81;27.04
27.38;27.37
27.18;27.84
27.22;27.53
27.54;27.51
27.55;27.25
27.53;27.5
27.49;27.1
27.35;26.91
27.21;27.35
27.19;26.33
27.41;26.21
26.69;26.11
26.58;26.45
26.5;26.85
26.57;27.33
27.1;27.44
27.55;27.3
27.97;27.6
27.82;27.86
27.92;28.23
28.3;28.29
28.35;28.58
28.42;28.29
28.71;29.05
28.55;29.22
28.98;29.04
29.38;29.42
29.28;30.27
29.52;30.15
30.22;29.92
30.24;30.33
30.07;29.95
30.14;30.36
29.94;30.52
30.1;30.45
30.34;30.29
30.4;29.74
30.26;29.36
29.71;29.32
29.43;28.99
29.38;29.35
29.2;29.54
29.29;29.49
29.51;29.31
29.58;29.05
29.42;28.95
29.42;29.97
29.25;30.09
29.85;28.8
30.18;28.95
29.39;29.51
29.34;29.02
29.72;29.0
29.46;29.6
29.4;29.36
29.92;28.88
29.78;28.74
29.46;28.69
29.21;27.86
29.02;28.26
28.48;28.11
28.48;28.34
28.57;27.51
28.63;27.54
28.06;27.22
28.06;27.09
27.67;26.79
27.43;26.96
27.32;26.24
27.33;26.13
26.67;25.77
26.39;25.82
26.13;25.47
25.91;25.39
25.78;25.67
25.74;26.55
25.88;27.22
26.46;26.96
27.05;26.6
27.09;26.53
26.74;27.17
26.73;27.06
27.09;27.13
27.03;26.61
27.08;26.97
26.94;27.63
26.86;26.48
27.4;26.24
26.9;26.49
26.48;27.31
26.69;27.41
27.2;26.97
27.38;27.94
27.12;28.61
27.8;28.06
28.3;27.69
28.01;28.2
27.82;28.35
28.15;27.99
28.44;27.7
28.08;27.76
27.99;27.77
27.94;28.09
27.86;27.57
28.09;27.66
27.77;27.71
27.79;28.43
27.75;28.22
28.29;28.3
28.38;28.36
28.31;27.51
28.46;27.36
27.78;28.72
27.55;28.29
28.36;28.59
28.48;28.74
28.78;29.01
28.83;28.23
29.05;28.36
28.58;28.08
28.36;29.17
28.17;30.0
28.86;28.71
29.7;28.38
29.06;27.72
28.58;28.33
28.06;28.57
28.54;25.94
28.81;26.77
27.16;26.76
27.16;26.14
26.99;25.77
26.48;24.65
26.13;23.18
25.36;22.4
24.01;20.76
23.08;20.1
21.82;23.31
20.86;22.4
22.8;20.39
22.98;21.17
21.55;21.59
21.61;23.16
21.96;22.08
23.08;20.11
22.66;20.41
21.28;19.72
20.98;18.64
20.43;20.86
19.44;20.91
20.44;22.1
20.95;22.6
21.67;21.84
22.45;22.7
22.16;21.14
22.63;19.9
21.81;20.38
20.42;19.26
20.45;19.0
19.89;17.59
19.48;18.89
18.14;18.39
18.81;17.22
18.74;18.03
17.91;17.4
18.48;16.34
18.23;18.42
17.37;19.37
18.35;19.22
19.33;19.63
19.55;19.65
19.8;17.74
19.97;18.72
18.78;19.14
19.15;19.01
19.26;19.86
19.44;21.74
20.17;20.53
21.55;20.68
20.96;20.21
20.77;20.02
20.38;20.16
20.19;21.06
19.95;20.88
20.71;20.21
20.92;19.86
20.2;19.42
19.82;19.35
19.93;19.47
19.87;19.64
19.76;19.01
19.75;19.9
19.41;20.09
19.68;21.18
20.14;20.81
20.89;21.53
20.77;20.52
21.33;20.28
21.09;19.75
20.62;19.36
20.49;18.77
20.16;18.42
19.45;18.91
18.92;19.0
19.4;17.92
19.61;18.8
18.77;18.57
19.07;18.25
19.27;18.47
18.83;18.82
18.61;19.73
18.98;18.82
19.89;18.31
19.42;17.89
19.08;18.26
18.54;16.82
18.46;16.57
17.82;17.22
17.23;17.21
17.67;16.61
17.56;16.38
17.11;16.67
16.94;16.4
16.89;15.8
16.99;15.61
16.56;15.66
16.22;15.52
16.04;15.03
15.88;15.87
15.52;15.37
15.96;14.93
15.97;14.85
15.39;14.21
15.55;14.49
15.16;15.0
15.15;14.16
15.35;14.02
14.94;13.8
14.61;14.71
14.33;14.69
14.86;15.43
15.1;15.17
15.47;15.24
15.4;15.78
15.84;16.04
16.14;15.67
16.01;15.45
16.01;16.75
15.61;16.19
16.71;16.41
16.42;16.88
16.39;16.46
16.81;15.81
16.79;16.08
16.19;16.64
16.08;17.89
16.79;17.71
17.41;17.37
17.83;16.93
17.66;17.14
16.72;17.6
17.01;17.29
17.24;16.84
17.19;17.47
17.09;18.16
17.58;18.05
18.15;17.19
17.87;17.24
17.35;17.18
17.42;17.38
17.39;17.94
17.29;17.48
17.88;17.28
18.03;18.6
17.95;19.39
18.77;19.43
19.45;20.24
19.67;20.5
20.38;22.91
21.03;22.43
22.35;22.54
22.6;21.88
22.75;21.53
22.26;20.9
21.78;20.79
21.15;20.73
20.8;21.44
21.01;21.09
21.21;20.85
21.44;20.57
21.41;20.99
21.12;21.73
21.16;21.14
21.64;21.24
21.39;21.45
21.47;22.16
21.46;22.25
21.91;22.21
22.45;22.26
22.49;22.09
22.57;22.43
22.8;22.43
22.89;22.22
22.88;22.34
22.5;22.19
22.71;21.47
22.56;20.8
21.79;20.97
21.39;21.0
21.34;20.83
21.23;20.06
21.01;20.26
20.61;20.28
20.68;20.85
20.56;20.75
20.87;20.95
20.71;20.66
20.82;20.76
